B Harmonic Minor, Cycle 6
-------------------------
4-way close: (1 2 3 7) --> (1 3 7 2)
B  C♯ D  A♯     B
G  B  F♯ A♯     G
E  D  F♯ G      E
C♯ D  E  B      C♯
A♯ C♯ G  B      A♯
F♯ E  G  A♯     F♯
D  E  F♯ C♯     D
B  D  A♯ C♯     B
G  F♯ A♯ B      G
E  F♯ G  D      E
C♯ E  B  D      C♯
A♯ G  B  C♯     A♯
F♯ G  A♯ E      F♯
D  F♯ C♯ E      D
B  A♯ C♯ D      B
G  A♯ B  F♯     G
E  G  D  F♯     E
C♯ B  D  E      C♯
A♯ B  C♯ G      A♯
F♯ A♯ E  G      F♯
D  C♯ E  F♯     D
Alternate Voicing:
C♯ D  A♯ B      B
A♯ F♯ G  B      G
F♯ E  G  D      E
D  E  B  C♯     C♯
B  G  A♯ C♯     A♯
G  F♯ A♯ E      F♯
E  F♯ C♯ D      D
C♯ A♯ B  D      B
A♯ G  B  F♯     G
F♯ G  D  E      E
D  B  C♯ E      C♯
B  A♯ C♯ G      A♯
G  A♯ E  F♯     F♯
E  C♯ D  F♯     D
C♯ B  D  A♯     B
A♯ B  F♯ G      G
F♯ D  E  G      E
D  C♯ E  B      C♯
B  C♯ G  A♯     A♯
G  E  F♯ A♯     F♯
E  D  F♯ C♯     D
-------------------------
Drop 2: (1 3 7 2) --> (1 7 2 3)
B  D  A♯ C♯     B
G  F♯ A♯ B      G
E  F♯ G  D      E
C♯ E  B  D      C♯
A♯ G  B  C♯     A♯
F♯ G  A♯ E      F♯
D  F♯ C♯ E      D
B  A♯ C♯ D      B
G  A♯ B  F♯     G
E  G  D  F♯     E
C♯ B  D  E      C♯
A♯ B  C♯ G      A♯
F♯ A♯ E  G      F♯
D  C♯ E  F♯     D
B  C♯ D  A♯     B
G  B  F♯ A♯     G
E  D  F♯ G      E
C♯ D  E  B      C♯
A♯ C♯ G  B      A♯
F♯ E  G  A♯     F♯
D  E  F♯ C♯     D
Alternate Voicing:
D  A♯ C♯ B      B
B  A♯ G  F♯     G
G  E  D  F♯     E
E  B  D  C♯     C♯
