B Harmonic Minor, Cycle 6
-------------------------
4-way close: (1 2 4 7) --> (1 4 7 2)
B  C♯ E  A♯     B
G  C♯ F♯ A♯     G
E  D  F♯ A♯     E
C♯ D  F♯ B      C♯
A♯ D  G  B      A♯
F♯ E  G  B      F♯
D  E  G  C♯     D
B  E  A♯ C♯     B
G  F♯ A♯ C♯     G
E  F♯ A♯ D      E
C♯ F♯ B  D      C♯
A♯ G  B  D      A♯
F♯ G  B  E      F♯
D  G  C♯ E      D
B  A♯ C♯ E      B
G  A♯ C♯ F♯     G
E  A♯ D  F♯     E
C♯ B  D  F♯     C♯
A♯ B  D  G      A♯
F♯ B  E  G      F♯
D  C♯ E  G      D
Alternate Voicing:
C♯ E  A♯ B      B
A♯ F♯ G  C♯     G
F♯ E  A♯ D      E
D  F♯ B  C♯     C♯
B  G  A♯ D      A♯
G  F♯ B  E      F♯
E  G  C♯ D      D
C♯ A♯ B  E      B
A♯ G  C♯ F♯     G
F♯ A♯ D  E      E
D  B  C♯ F♯     C♯
B  A♯ D  G      A♯
G  B  E  F♯     F♯
E  C♯ D  G      D
C♯ B  E  A♯     B
A♯ C♯ F♯ G      G
F♯ D  E  A♯     E
D  C♯ F♯ B      C♯
B  D  G  A♯     A♯
G  E  F♯ B      F♯
E  D  G  C♯     D
-------------------------
Drop 2: (1 4 7 2) --> (1 7 2 4)
B  E  A♯ C♯     B
G  F♯ A♯ C♯     G
E  F♯ A♯ D      E
C♯ F♯ B  D      C♯
A♯ G  B  D      A♯
F♯ G  B  E      F♯
D  G  C♯ E      D
B  A♯ C♯ E      B
G  A♯ C♯ F♯     G
E  A♯ D  F♯     E
C♯ B  D  F♯     C♯
A♯ B  D  G      A♯
F♯ B  E  G      F♯
D  C♯ E  G      D
B  C♯ E  A♯     B
G  C♯ F♯ A♯     G
E  D  F♯ A♯     E
C♯ D  F♯ B      C♯
A♯ D  G  B      A♯
F♯ E  G  B      F♯
D  E  G  C♯     D
Alternate Voicing:
E  A♯ C♯ B      B
C♯ A♯ G  F♯     G
A♯ E  D  F♯     E
F♯ B  D  C♯     C♯
D  B  A♯ G      A♯
B  F♯ E  G      F♯
G  C♯ E  D      D
E  C♯ B  A♯     B
C♯ G  F♯ A♯     G
A♯ D  F♯ E      E
F♯ D  C♯ B      C♯
D  A♯ G  B      A♯
B  E  G  F♯     F♯
G  E  D  C♯     D
E  B  A♯ C♯     B
C♯ F♯ A♯ G      G
A♯ F♯ E  D      E
F♯ C♯ B  D      C♯
D  G  B  A♯     A♯
B  G  F♯ E      F♯
G  D  C♯ E      D
-------------------------
Drop 3: (1 7 2 4) --> (1 2 4 7)
B  A♯ C♯ E      B
G  A♯ C♯ F♯     G
E  A♯ D  F♯     E
C♯ B  D  F♯     C♯
A♯ B  D  G      A♯
F♯ B  E  G      F♯
D  C♯ E  G      D
