B Major, Cycle 3
-------------------------
4-way close: (1 2 5 7) --> (1 7 2 5)
B  C♯ F♯ A♯
D♯ C♯ E  A♯
F♯ C♯ E  G♯
A♯ B  E  G♯
C♯ B  D♯ G♯
E  B  D♯ F♯
G♯ A♯ D♯ F♯
B  A♯ C♯ F♯
D♯ A♯ C♯ E 
F♯ G♯ C♯ E 
A♯ G♯ B  E 
C♯ G♯ B  D♯
E  F♯ B  D♯
G♯ F♯ A♯ D♯
B  F♯ A♯ C♯
D♯ E  A♯ C♯
F♯ E  G♯ C♯
A♯ E  G♯ B 
C♯ D♯ G♯ B 
E  D♯ F♯ B 
G♯ D♯ F♯ A♯
Alternate Voicing:
C♯ F♯ A♯ B 
E  D♯ A♯ C♯
G♯ E  F♯ C♯
B  E  G♯ A♯
D♯ C♯ G♯ B 
F♯ D♯ E  B 
A♯ D♯ F♯ G♯
C♯ B  F♯ A♯
E  C♯ D♯ A♯
G♯ C♯ E  F♯
B  A♯ E  G♯
D♯ B  C♯ G♯
F♯ B  D♯ E 
A♯ G♯ D♯ F♯
C♯ A♯ B  F♯
E  A♯ C♯ D♯
G♯ F♯ C♯ E 
B  G♯ A♯ E 
D♯ G♯ B  C♯
F♯ E  B  D♯
A♯ F♯ G♯ D♯
-------------------------
Drop 2: (1 5 7 2) --> (1 2 5 7)
B  F♯ A♯ C♯
D♯ E  A♯ C♯
F♯ E  G♯ C♯
A♯ E  G♯ B 
C♯ D♯ G♯ B 
E  D♯ F♯ B 
G♯ D♯ F♯ A♯
B  C♯ F♯ A♯
D♯ C♯ E  A♯
F♯ C♯ E  G♯
A♯ B  E  G♯
C♯ B  D♯ G♯
E  B  D♯ F♯
G♯ A♯ D♯ F♯
B  A♯ C♯ F♯
D♯ A♯ C♯ E 
F♯ G♯ C♯ E 
A♯ G♯ B  E 
C♯ G♯ B  D♯
E  F♯ B  D♯
G♯ F♯ A♯ D♯
Alternate Voicing:
F♯ A♯ C♯ B 
A♯ D♯ C♯ E 
C♯ G♯ F♯ E 
E  G♯ B  A♯
G♯ C♯ B  D♯
B  F♯ E  D♯
D♯ F♯ A♯ G♯
F♯ B  A♯ C♯
A♯ E  D♯ C♯
C♯ E  G♯ F♯
E  A♯ G♯ B 
G♯ D♯ C♯ B 
B  D♯ F♯ E 
D♯ G♯ F♯ A♯
F♯ C♯ B  A♯
A♯ C♯ E  D♯
C♯ F♯ E  G♯
E  B  A♯ G♯
G♯ B  D♯ C♯
B  E  D♯ F♯
D♯ A♯ G♯ F♯
-------------------------
Drop 3: (1 7 2 5) --> (1 5 7 2)
B  A♯ C♯ F♯
D♯ A♯ C♯ E 
F♯ G♯ C♯ E 
A♯ G♯ B  E 
C♯ G♯ B  D♯
E  F♯ B  D♯
G♯ F♯ A♯ D♯
B  F♯ A♯ C♯
D♯ E  A♯ C♯
F♯ E  G♯ C♯
A♯ E  G♯ B 
C♯ D♯ G♯ B 
E  D♯ F♯ B 
G♯ D♯ F♯ A♯
B  C♯ F♯ A♯
D♯ C♯ E  A♯
F♯ C♯ E  G♯
A♯ B  E  G♯
C♯ B  D♯ G♯
E  B  D♯ F♯
G♯ A♯ D♯ F♯
Alternate Voicing:
A♯ C♯ F♯ B 
C♯ D♯ E  A♯
E  C♯ F♯ G♯
G♯ B  E  A♯
B  C♯ D♯ G♯
