B Melodic Minor, Cycle 7
-------------------------
4-way close: (1 3 5 7) --> (3 5 7 1)
B  D  F♯ A♯     Bm(maj7)
C♯ E  G♯ A♯     A♯ø
D  F♯ G♯ B      G♯ø
E  F♯ A♯ C♯     F♯7
E  G♯ B  D      E7
F♯ A♯ C♯ D      Daug(maj7)
G♯ B  C♯ E      C♯m7
A♯ B  D  F♯     Bm(maj7)
A♯ C♯ E  G♯     A♯ø
B  D  F♯ G♯     G♯ø
C♯ E  F♯ A♯     F♯7
D  E  G♯ B      E7
D  F♯ A♯ C♯     Daug(maj7)
E  G♯ B  C♯     C♯m7
F♯ A♯ B  D      Bm(maj7)
G♯ A♯ C♯ E      A♯ø
G♯ B  D  F♯     G♯ø
A♯ C♯ E  F♯     F♯7
B  D  E  G♯     E7
C♯ D  F♯ A♯     Daug(maj7)
C♯ E  G♯ B      C♯m7
D  F♯ A♯ B      Bm(maj7)
E  G♯ A♯ C♯     A♯ø
F♯ G♯ B  D      G♯ø
F♯ A♯ C♯ E      F♯7
G♯ B  D  E      E7
A♯ C♯ D  F♯     Daug(maj7)
B  C♯ E  G♯     C♯m7
-------------------------
Drop 2: (1 5 7 3) --> (3 7 1 5)
B  F♯ A♯ D      Bm(maj7)
C♯ G♯ A♯ E      A♯ø
D  G♯ B  F♯     G♯ø
E  A♯ C♯ F♯     F♯7
E  B  D  G♯     E7
F♯ C♯ D  A♯     Daug(maj7)
G♯ C♯ E  B      C♯m7
A♯ D  F♯ B      Bm(maj7)
A♯ E  G♯ C♯     A♯ø
B  F♯ G♯ D      G♯ø
C♯ F♯ A♯ E      F♯7
D  G♯ B  E      E7
D  A♯ C♯ F♯     Daug(maj7)
E  B  C♯ G♯     C♯m7
F♯ B  D  A♯     Bm(maj7)
G♯ C♯ E  A♯     A♯ø
G♯ D  F♯ B      G♯ø
A♯ E  F♯ C♯     F♯7
B  E  G♯ D      E7
C♯ F♯ A♯ D      Daug(maj7)
C♯ G♯ B  E      C♯m7
D  A♯ B  F♯     Bm(maj7)
E  A♯ C♯ G♯     A♯ø
F♯ B  D  G♯     G♯ø
F♯ C♯ E  A♯     F♯7
G♯ D  E  B      E7
A♯ D  F♯ C♯     Daug(maj7)
B  E  G♯ C♯     C♯m7
-------------------------
Drop 3: (1 7 3 5) --> (3 1 5 7)
B  A♯ D  F♯     Bm(maj7)
C♯ A♯ E  G♯     A♯ø
D  B  F♯ G♯     G♯ø
E  C♯ F♯ A♯     F♯7
E  D  G♯ B      E7
F♯ D  A♯ C♯     Daug(maj7)
G♯ E  B  C♯     C♯m7
A♯ F♯ B  D      Bm(maj7)
A♯ G♯ C♯ E      A♯ø
B  G♯ D  F♯     G♯ø
C♯ A♯ E  F♯     F♯7
D  B  E  G♯     E7
D  C♯ F♯ A♯     Daug(maj7)
E  C♯ G♯ B      C♯m7
F♯ D  A♯ B      Bm(maj7)
G♯ E  A♯ C♯     A♯ø
G♯ F♯ B  D      G♯ø
A♯ F♯ C♯ E      F♯7
B  G♯ D  E      E7
C♯ A♯ D  F♯     Daug(maj7)
C♯ B  E  G♯     C♯m7
D  B  F♯ A♯     Bm(maj7)
E  C♯ G♯ A♯     A♯ø
F♯ D  G♯ B      G♯ø
F♯ E  A♯ C♯     F♯7
G♯ E  B  D      E7
A♯ F♯ C♯ D      Daug(maj7)
B  G♯ C♯ E      C♯m7
-------------------------
Drop 2 and 3: (1 3 7 5) --> (3 5 1 7)
B  D  A♯ F♯     Bm(maj7)
C♯ E  A♯ G♯     A♯ø
D  F♯ B  G♯     G♯ø
E  F♯ C♯ A♯     F♯7
E  G♯ D  B      E7
F♯ A♯ D  C♯     Daug(maj7)
G♯ B  E  C♯     C♯m7
A♯ B  F♯ D      Bm(maj7)
A♯ C♯ G♯ E      A♯ø
B  D  G♯ F♯     G♯ø
C♯ E  A♯ F♯     F♯7
D  E  B  G♯     E7
D  F♯ C♯ A♯     Daug(maj7)
E  G♯ C♯ B      C♯m7
F♯ A♯ D  B      Bm(maj7)
G♯ A♯ E  C♯     A♯ø
G♯ B  F♯ D      G♯ø
A♯ C♯ F♯ E      F♯7
B  D  G♯ E      E7
C♯ D  A♯ F♯     Daug(maj7)
C♯ E  B  G♯     C♯m7
D  F♯ B  A♯     Bm(maj7)
E  G♯ C♯ A♯     A♯ø
F♯ G♯ D  B      G♯ø
F♯ A♯ E  C♯     F♯7
G♯ B  E  D      E7
A♯ C♯ F♯ D      Daug(maj7)
B  C♯ G♯ E      C♯m7
-------------------------
Drop 2 and 4: (1 5 3 7) --> (3 7 5 1)
B  F♯ D  A♯     Bm(maj7)
C♯ G♯ E  A♯     A♯ø
D  G♯ F♯ B      G♯ø
E  A♯ F♯ C♯     F♯7
E  B  G♯ D      E7
F♯ C♯ A♯ D      Daug(maj7)
G♯ C♯ B  E      C♯m7
A♯ D  B  F♯     Bm(maj7)
A♯ E  C♯ G♯     A♯ø
B  F♯ D  G♯     G♯ø
C♯ F♯ E  A♯     F♯7
D  G♯ E  B      E7
D  A♯ F♯ C♯     Daug(maj7)
E  B  G♯ C♯     C♯m7
F♯ B  A♯ D      Bm(maj7)
G♯ C♯ A♯ E      A♯ø
G♯ D  B  F♯     G♯ø
A♯ E  C♯ F♯     F♯7
B  E  D  G♯     E7
C♯ F♯ D  A♯     Daug(maj7)
C♯ G♯ E  B      C♯m7
D  A♯ F♯ B      Bm(maj7)
E  A♯ G♯ C♯     A♯ø
F♯ B  G♯ D      G♯ø
F♯ C♯ A♯ E      F♯7
G♯ D  B  E      E7
A♯ D  C♯ F♯     Daug(maj7)
B  E  C♯ G♯     C♯m7
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (3 1 7 5)
B  A♯ F♯ D      Bm(maj7)
C♯ A♯ G♯ E      A♯ø
D  B  G♯ F♯     G♯ø
E  C♯ A♯ F♯     F♯7
E  D  B  G♯     E7
F♯ D  C♯ A♯     Daug(maj7)
G♯ E  C♯ B      C♯m7
A♯ F♯ D  B      Bm(maj7)
A♯ G♯ E  C♯     A♯ø
B  G♯ F♯ D      G♯ø
C♯ A♯ F♯ E      F♯7
D  B  G♯ E      E7
D  C♯ A♯ F♯     Daug(maj7)
E  C♯ B  G♯     C♯m7
F♯ D  B  A♯     Bm(maj7)
G♯ E  C♯ A♯     A♯ø
G♯ F♯ D  B      G♯ø
A♯ F♯ E  C♯     F♯7
B  G♯ E  D      E7
C♯ A♯ F♯ D      Daug(maj7)
C♯ B  G♯ E      C♯m7
D  B  A♯ F♯     Bm(maj7)
E  C♯ A♯ G♯     A♯ø
F♯ D  B  G♯     G♯ø
F♯ E  C♯ A♯     F♯7
G♯ E  D  B      E7
A♯ F♯ D  C♯     Daug(maj7)
B  G♯ E  C♯     C♯m7
-------------------------
