C Melodic Minor, Cycle 6
-------------------------
4-way close: (1 3 5 7) --> (3 5 7 1)
C  E♭ G  B      Cm(maj7)
C  E♭ G  A      Aø
C  E♭ F  A      F7
C  D  F  A      Dm7
B  D  F  A      Bø
B  D  F  G      G7
B  D  E♭ G      E♭aug(maj7)
B  C  E♭ G      Cm(maj7)
A  C  E♭ G      Aø
A  C  E♭ F      F7
A  C  D  F      Dm7
A  B  D  F      Bø
G  B  D  F      G7
G  B  D  E♭     E♭aug(maj7)
G  B  C  E♭     Cm(maj7)
G  A  C  E♭     Aø
F  A  C  E♭     F7
F  A  C  D      Dm7
F  A  B  D      Bø
F  G  B  D      G7
E♭ G  B  D      E♭aug(maj7)
E♭ G  B  C      Cm(maj7)
E♭ G  A  C      Aø
E♭ F  A  C      F7
D  F  A  C      Dm7
D  F  A  B      Bø
D  F  G  B      G7
D  E♭ G  B      E♭aug(maj7)
-------------------------
Drop 2: (1 5 7 3) --> (3 7 1 5)
C  G  B  E♭     Cm(maj7)
C  G  A  E♭     Aø
C  F  A  E♭     F7
C  F  A  D      Dm7
B  F  A  D      Bø
B  F  G  D      G7
B  E♭ G  D      E♭aug(maj7)
B  E♭ G  C      Cm(maj7)
A  E♭ G  C      Aø
A  E♭ F  C      F7
A  D  F  C      Dm7
A  D  F  B      Bø
G  D  F  B      G7
G  D  E♭ B      E♭aug(maj7)
G  C  E♭ B      Cm(maj7)
G  C  E♭ A      Aø
F  C  E♭ A      F7
F  C  D  A      Dm7
F  B  D  A      Bø
F  B  D  G      G7
E♭ B  D  G      E♭aug(maj7)
E♭ B  C  G      Cm(maj7)
E♭ A  C  G      Aø
E♭ A  C  F      F7
D  A  C  F      Dm7
D  A  B  F      Bø
D  G  B  F      G7
D  G  B  E♭     E♭aug(maj7)
-------------------------
Drop 3: (1 7 3 5) --> (3 1 5 7)
C  B  E♭ G      Cm(maj7)
C  A  E♭ G      Aø
C  A  E♭ F      F7
C  A  D  F      Dm7
B  A  D  F      Bø
B  G  D  F      G7
B  G  D  E♭     E♭aug(maj7)
B  G  C  E♭     Cm(maj7)
A  G  C  E♭     Aø
A  F  C  E♭     F7
A  F  C  D      Dm7
A  F  B  D      Bø
G  F  B  D      G7
G  E♭ B  D      E♭aug(maj7)
G  E♭ B  C      Cm(maj7)
G  E♭ A  C      Aø
F  E♭ A  C      F7
F  D  A  C      Dm7
F  D  A  B      Bø
F  D  G  B      G7
E♭ D  G  B      E♭aug(maj7)
E♭ C  G  B      Cm(maj7)
E♭ C  G  A      Aø
E♭ C  F  A      F7
D  C  F  A      Dm7
D  B  F  A      Bø
D  B  F  G      G7
D  B  E♭ G      E♭aug(maj7)
-------------------------
Drop 2 and 3: (1 3 7 5) --> (3 5 1 7)
C  E♭ B  G      Cm(maj7)
C  E♭ A  G      Aø
C  E♭ A  F      F7
C  D  A  F      Dm7
B  D  A  F      Bø
B  D  G  F      G7
B  D  G  E♭     E♭aug(maj7)
B  C  G  E♭     Cm(maj7)
A  C  G  E♭     Aø
A  C  F  E♭     F7
A  C  F  D      Dm7
A  B  F  D      Bø
G  B  F  D      G7
G  B  E♭ D      E♭aug(maj7)
G  B  E♭ C      Cm(maj7)
G  A  E♭ C      Aø
F  A  E♭ C      F7
F  A  D  C      Dm7
F  A  D  B      Bø
F  G  D  B      G7
E♭ G  D  B      E♭aug(maj7)
E♭ G  C  B      Cm(maj7)
E♭ G  C  A      Aø
E♭ F  C  A      F7
D  F  C  A      Dm7
D  F  B  A      Bø
D  F  B  G      G7
D  E♭ B  G      E♭aug(maj7)
-------------------------
Drop 2 and 4: (1 5 3 7) --> (3 7 5 1)
C  G  E♭ B      Cm(maj7)
C  G  E♭ A      Aø
C  F  E♭ A      F7
C  F  D  A      Dm7
B  F  D  A      Bø
B  F  D  G      G7
B  E♭ D  G      E♭aug(maj7)
B  E♭ C  G      Cm(maj7)
A  E♭ C  G      Aø
A  E♭ C  F      F7
A  D  C  F      Dm7
A  D  B  F      Bø
G  D  B  F      G7
G  D  B  E♭     E♭aug(maj7)
G  C  B  E♭     Cm(maj7)
G  C  A  E♭     Aø
F  C  A  E♭     F7
F  C  A  D      Dm7
F  B  A  D      Bø
F  B  G  D      G7
E♭ B  G  D      E♭aug(maj7)
E♭ B  G  C      Cm(maj7)
E♭ A  G  C      Aø
E♭ A  F  C      F7
D  A  F  C      Dm7
D  A  F  B      Bø
D  G  F  B      G7
D  G  E♭ B      E♭aug(maj7)
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (3 1 7 5)
C  B  G  E♭     Cm(maj7)
C  A  G  E♭     Aø
C  A  F  E♭     F7
C  A  F  D      Dm7
B  A  F  D      Bø
B  G  F  D      G7
B  G  E♭ D      E♭aug(maj7)
B  G  E♭ C      Cm(maj7)
A  G  E♭ C      Aø
A  F  E♭ C      F7
A  F  D  C      Dm7
A  F  D  B      Bø
G  F  D  B      G7
G  E♭ D  B      E♭aug(maj7)
G  E♭ C  B      Cm(maj7)
G  E♭ C  A      Aø
F  E♭ C  A      F7
F  D  C  A      Dm7
F  D  B  A      Bø
F  D  B  G      G7
E♭ D  B  G      E♭aug(maj7)
E♭ C  B  G      Cm(maj7)
E♭ C  A  G      Aø
E♭ C  A  F      F7
D  C  A  F      Dm7
D  B  A  F      Bø
D  B  G  F      G7
D  B  G  E♭     E♭aug(maj7)
-------------------------
