C♯ Harmonic Minor, Cycle 7
-------------------------
4-way close: (1 2 5 7) --> (2 5 7 1)
C♯ D♯ G♯ B♯     C♯
C♯ F♯ A  B♯     B♯
E  G♯ A  B♯     Am(maj7)
F♯ G♯ A  D♯     G♯
F♯ G♯ C♯ E      F♯
F♯ B♯ D♯ E      E
A  C♯ D♯ E      D♯
B♯ C♯ D♯ G♯     C♯
B♯ C♯ F♯ A      B♯
B♯ E  G♯ A      Am(maj7)
D♯ F♯ G♯ A      G♯
E  F♯ G♯ C♯     F♯
E  F♯ B♯ D♯     E
E  A  C♯ D♯     D♯
G♯ B♯ C♯ D♯     C♯
A  B♯ C♯ F♯     B♯
A  B♯ E  G♯     Am(maj7)
A  D♯ F♯ G♯     G♯
C♯ E  F♯ G♯     F♯
D♯ E  F♯ B♯     E
D♯ E  A  C♯     D♯
D♯ G♯ B♯ C♯     C♯
F♯ A  B♯ C♯     B♯
G♯ A  B♯ E      Am(maj7)
G♯ A  D♯ F♯     G♯
G♯ C♯ E  F♯     F♯
B♯ D♯ E  F♯     E
C♯ D♯ E  A      D♯
-------------------------
Drop 2: (1 5 7 2) --> (2 7 1 5)
C♯ G♯ B♯ D♯     C♯
C♯ A  B♯ F♯     B♯
E  A  B♯ G♯     Am(maj7)
F♯ A  D♯ G♯     G♯
F♯ C♯ E  G♯     F♯
F♯ D♯ E  B♯     E
A  D♯ E  C♯     D♯
B♯ D♯ G♯ C♯     C♯
B♯ F♯ A  C♯     B♯
B♯ G♯ A  E      Am(maj7)
D♯ G♯ A  F♯     G♯
E  G♯ C♯ F♯     F♯
E  B♯ D♯ F♯     E
E  C♯ D♯ A      D♯
G♯ C♯ D♯ B♯     C♯
A  C♯ F♯ B♯     B♯
A  E  G♯ B♯     Am(maj7)
A  F♯ G♯ D♯     G♯
C♯ F♯ G♯ E      F♯
D♯ F♯ B♯ E      E
D♯ A  C♯ E      D♯
D♯ B♯ C♯ G♯     C♯
F♯ B♯ C♯ A      B♯
