C♯ Melodic Minor, Cycle 6
-------------------------
4-way close: (1 3 5 7) --> (3 5 7 1)
C♯ E  G♯ B♯     C♯m(maj7)
C♯ E  G♯ A♯     A♯ø
C♯ E  F♯ A♯     F♯7
C♯ D♯ F♯ A♯     D♯m7
B♯ D♯ F♯ A♯     B♯ø
B♯ D♯ F♯ G♯     G♯7
B♯ D♯ E  G♯     Eaug(maj7)
B♯ C♯ E  G♯     C♯m(maj7)
A♯ C♯ E  G♯     A♯ø
A♯ C♯ E  F♯     F♯7
A♯ C♯ D♯ F♯     D♯m7
A♯ B♯ D♯ F♯     B♯ø
G♯ B♯ D♯ F♯     G♯7
G♯ B♯ D♯ E      Eaug(maj7)
G♯ B♯ C♯ E      C♯m(maj7)
G♯ A♯ C♯ E      A♯ø
F♯ A♯ C♯ E      F♯7
F♯ A♯ C♯ D♯     D♯m7
F♯ A♯ B♯ D♯     B♯ø
F♯ G♯ B♯ D♯     G♯7
E  G♯ B♯ D♯     Eaug(maj7)
E  G♯ B♯ C♯     C♯m(maj7)
E  G♯ A♯ C♯     A♯ø
E  F♯ A♯ C♯     F♯7
D♯ F♯ A♯ C♯     D♯m7
D♯ F♯ A♯ B♯     B♯ø
D♯ F♯ G♯ B♯     G♯7
D♯ E  G♯ B♯     Eaug(maj7)
-------------------------
Drop 2: (1 5 7 3) --> (3 7 1 5)
C♯ G♯ B♯ E      C♯m(maj7)
C♯ G♯ A♯ E      A♯ø
C♯ F♯ A♯ E      F♯7
C♯ F♯ A♯ D♯     D♯m7
B♯ F♯ A♯ D♯     B♯ø
B♯ F♯ G♯ D♯     G♯7
B♯ E  G♯ D♯     Eaug(maj7)
B♯ E  G♯ C♯     C♯m(maj7)
A♯ E  G♯ C♯     A♯ø
A♯ E  F♯ C♯     F♯7
A♯ D♯ F♯ C♯     D♯m7
A♯ D♯ F♯ B♯     B♯ø
G♯ D♯ F♯ B♯     G♯7
G♯ D♯ E  B♯     Eaug(maj7)
G♯ C♯ E  B♯     C♯m(maj7)
G♯ C♯ E  A♯     A♯ø
F♯ C♯ E  A♯     F♯7
F♯ C♯ D♯ A♯     D♯m7
F♯ B♯ D♯ A♯     B♯ø
F♯ B♯ D♯ G♯     G♯7
E  B♯ D♯ G♯     Eaug(maj7)
E  B♯ C♯ G♯     C♯m(maj7)
E  A♯ C♯ G♯     A♯ø
E  A♯ C♯ F♯     F♯7
D♯ A♯ C♯ F♯     D♯m7
D♯ A♯ B♯ F♯     B♯ø
D♯ G♯ B♯ F♯     G♯7
D♯ G♯ B♯ E      Eaug(maj7)
-------------------------
Drop 3: (1 7 3 5) --> (3 1 5 7)
C♯ B♯ E  G♯     C♯m(maj7)
C♯ A♯ E  G♯     A♯ø
C♯ A♯ E  F♯     F♯7
C♯ A♯ D♯ F♯     D♯m7
B♯ A♯ D♯ F♯     B♯ø
B♯ G♯ D♯ F♯     G♯7
B♯ G♯ D♯ E      Eaug(maj7)
B♯ G♯ C♯ E      C♯m(maj7)
A♯ G♯ C♯ E      A♯ø
A♯ F♯ C♯ E      F♯7
A♯ F♯ C♯ D♯     D♯m7
A♯ F♯ B♯ D♯     B♯ø
G♯ F♯ B♯ D♯     G♯7
G♯ E  B♯ D♯     Eaug(maj7)
G♯ E  B♯ C♯     C♯m(maj7)
G♯ E  A♯ C♯     A♯ø
F♯ E  A♯ C♯     F♯7
F♯ D♯ A♯ C♯     D♯m7
F♯ D♯ A♯ B♯     B♯ø
F♯ D♯ G♯ B♯     G♯7
E  D♯ G♯ B♯     Eaug(maj7)
E  C♯ G♯ B♯     C♯m(maj7)
E  C♯ G♯ A♯     A♯ø
E  C♯ F♯ A♯     F♯7
D♯ C♯ F♯ A♯     D♯m7
D♯ B♯ F♯ A♯     B♯ø
D♯ B♯ F♯ G♯     G♯7
D♯ B♯ E  G♯     Eaug(maj7)
-------------------------
Drop 2 and 3: (1 3 7 5) --> (3 5 1 7)
C♯ E  B♯ G♯     C♯m(maj7)
C♯ E  A♯ G♯     A♯ø
C♯ E  A♯ F♯     F♯7
C♯ D♯ A♯ F♯     D♯m7
B♯ D♯ A♯ F♯     B♯ø
B♯ D♯ G♯ F♯     G♯7
B♯ D♯ G♯ E      Eaug(maj7)
B♯ C♯ G♯ E      C♯m(maj7)
A♯ C♯ G♯ E      A♯ø
A♯ C♯ F♯ E      F♯7
A♯ C♯ F♯ D♯     D♯m7
A♯ B♯ F♯ D♯     B♯ø
G♯ B♯ F♯ D♯     G♯7
G♯ B♯ E  D♯     Eaug(maj7)
G♯ B♯ E  C♯     C♯m(maj7)
G♯ A♯ E  C♯     A♯ø
F♯ A♯ E  C♯     F♯7
F♯ A♯ D♯ C♯     D♯m7
F♯ A♯ D♯ B♯     B♯ø
F♯ G♯ D♯ B♯     G♯7
E  G♯ D♯ B♯     Eaug(maj7)
E  G♯ C♯ B♯     C♯m(maj7)
E  G♯ C♯ A♯     A♯ø
E  F♯ C♯ A♯     F♯7
D♯ F♯ C♯ A♯     D♯m7
D♯ F♯ B♯ A♯     B♯ø
D♯ F♯ B♯ G♯     G♯7
D♯ E  B♯ G♯     Eaug(maj7)
-------------------------
Drop 2 and 4: (1 5 3 7) --> (3 7 5 1)
C♯ G♯ E  B♯     C♯m(maj7)
C♯ G♯ E  A♯     A♯ø
C♯ F♯ E  A♯     F♯7
C♯ F♯ D♯ A♯     D♯m7
B♯ F♯ D♯ A♯     B♯ø
B♯ F♯ D♯ G♯     G♯7
B♯ E  D♯ G♯     Eaug(maj7)
B♯ E  C♯ G♯     C♯m(maj7)
A♯ E  C♯ G♯     A♯ø
A♯ E  C♯ F♯     F♯7
A♯ D♯ C♯ F♯     D♯m7
A♯ D♯ B♯ F♯     B♯ø
G♯ D♯ B♯ F♯     G♯7
G♯ D♯ B♯ E      Eaug(maj7)
G♯ C♯ B♯ E      C♯m(maj7)
G♯ C♯ A♯ E      A♯ø
F♯ C♯ A♯ E      F♯7
F♯ C♯ A♯ D♯     D♯m7
F♯ B♯ A♯ D♯     B♯ø
F♯ B♯ G♯ D♯     G♯7
E  B♯ G♯ D♯     Eaug(maj7)
E  B♯ G♯ C♯     C♯m(maj7)
E  A♯ G♯ C♯     A♯ø
E  A♯ F♯ C♯     F♯7
D♯ A♯ F♯ C♯     D♯m7
D♯ A♯ F♯ B♯     B♯ø
D♯ G♯ F♯ B♯     G♯7
D♯ G♯ E  B♯     Eaug(maj7)
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (3 1 7 5)
C♯ B♯ G♯ E      C♯m(maj7)
C♯ A♯ G♯ E      A♯ø
C♯ A♯ F♯ E      F♯7
C♯ A♯ F♯ D♯     D♯m7
B♯ A♯ F♯ D♯     B♯ø
B♯ G♯ F♯ D♯     G♯7
B♯ G♯ E  D♯     Eaug(maj7)
B♯ G♯ E  C♯     C♯m(maj7)
A♯ G♯ E  C♯     A♯ø
A♯ F♯ E  C♯     F♯7
A♯ F♯ D♯ C♯     D♯m7
A♯ F♯ D♯ B♯     B♯ø
G♯ F♯ D♯ B♯     G♯7
G♯ E  D♯ B♯     Eaug(maj7)
G♯ E  C♯ B♯     C♯m(maj7)
G♯ E  C♯ A♯     A♯ø
F♯ E  C♯ A♯     F♯7
F♯ D♯ C♯ A♯     D♯m7
F♯ D♯ B♯ A♯     B♯ø
F♯ D♯ B♯ G♯     G♯7
E  D♯ B♯ G♯     Eaug(maj7)
E  C♯ B♯ G♯     C♯m(maj7)
E  C♯ A♯ G♯     A♯ø
E  C♯ A♯ F♯     F♯7
D♯ C♯ A♯ F♯     D♯m7
D♯ B♯ A♯ F♯     B♯ø
D♯ B♯ G♯ F♯     G♯7
D♯ B♯ G♯ E      Eaug(maj7)
-------------------------
