D♯ Harmonic Minor, Cycle 2
-------------------------
4-way close: (1 2 5 7) --> (7 1 5 2)
D♯ E♯ A♯ C𝄪     D♯
D♯ E♯ B  F♯     E♯
G♯ E♯ C𝄪 F♯     F♯
G♯ A♯ D♯ F♯     G♯
G♯ A♯ E♯ B      A♯
C𝄪 A♯ F♯ B      Bm(maj7)
C𝄪 D♯ G♯ B      C𝄪
C𝄪 D♯ A♯ E♯     D♯
F♯ D♯ B  E♯     E♯
F♯ G♯ C𝄪 E♯     F♯
F♯ G♯ D♯ A♯     G♯
B  G♯ E♯ A♯     A♯
B  C𝄪 F♯ A♯     Bm(maj7)
B  C𝄪 G♯ D♯     C𝄪
E♯ C𝄪 A♯ D♯     D♯
E♯ F♯ B  D♯     E♯
E♯ F♯ C𝄪 G♯     F♯
A♯ F♯ D♯ G♯     G♯
A♯ B  E♯ G♯     A♯
A♯ B  F♯ C𝄪     Bm(maj7)
D♯ B  G♯ C𝄪     C𝄪
Alternate Voicing:
E♯ A♯ C𝄪 D♯     D♯
E♯ F♯ D♯ B      E♯
C𝄪 F♯ E♯ G♯     F♯
A♯ D♯ F♯ G♯     G♯
A♯ B  G♯ E♯     A♯
F♯ B  A♯ C𝄪     Bm(maj7)
D♯ G♯ B  C𝄪     C𝄪
D♯ E♯ C𝄪 A♯     D♯
B  E♯ D♯ F♯     E♯
G♯ C𝄪 E♯ F♯     F♯
G♯ A♯ F♯ D♯     G♯
E♯ A♯ G♯ B      A♯
C𝄪 F♯ A♯ B      Bm(maj7)
C𝄪 D♯ B  G♯     C𝄪
A♯ D♯ C𝄪 E♯     D♯
F♯ B  D♯ E♯     E♯
F♯ G♯ E♯ C𝄪     F♯
D♯ G♯ F♯ A♯     G♯
B  E♯ G♯ A♯     A♯
B  C𝄪 A♯ F♯     Bm(maj7)
G♯ C𝄪 B  D♯     C𝄪
-------------------------
Drop 2: (1 5 7 2) --> (7 5 2 1)
D♯ A♯ C𝄪 E♯     D♯
D♯ B  F♯ E♯     E♯
G♯ C𝄪 F♯ E♯     F♯
G♯ D♯ F♯ A♯     G♯
G♯ E♯ B  A♯     A♯
C𝄪 F♯ B  A♯     Bm(maj7)
C𝄪 G♯ B  D♯     C𝄪
C𝄪 A♯ E♯ D♯     D♯
F♯ B  E♯ D♯     E♯
F♯ C𝄪 E♯ G♯     F♯
F♯ D♯ A♯ G♯     G♯
B  E♯ A♯ G♯     A♯
B  F♯ A♯ C𝄪     Bm(maj7)
B  G♯ D♯ C𝄪     C𝄪
E♯ A♯ D♯ C𝄪     D♯
E♯ B  D♯ F♯     E♯
E♯ C𝄪 G♯ F♯     F♯
A♯ D♯ G♯ F♯     G♯
A♯ E♯ G♯ B      A♯
A♯ F♯ C𝄪 B      Bm(maj7)
D♯ G♯ C𝄪 B      C𝄪
Alternate Voicing:
A♯ C𝄪 E♯ D♯     D♯
F♯ D♯ E♯ B      E♯
F♯ E♯ C𝄪 G♯     F♯
D♯ F♯ A♯ G♯     G♯
B  G♯ A♯ E♯     A♯
B  A♯ F♯ C𝄪     Bm(maj7)
G♯ B  D♯ C𝄪     C𝄪
E♯ C𝄪 D♯ A♯     D♯
E♯ D♯ B  F♯     E♯
C𝄪 E♯ G♯ F♯     F♯
A♯ F♯ G♯ D♯     G♯
A♯ G♯ E♯ B      A♯
F♯ A♯ C𝄪 B      Bm(maj7)
D♯ B  C𝄪 G♯     C𝄪
D♯ C𝄪 A♯ E♯     D♯
B  D♯ F♯ E♯     E♯
G♯ E♯ F♯ C𝄪     F♯
G♯ F♯ D♯ A♯     G♯
E♯ G♯ B  A♯     A♯
C𝄪 A♯ B  F♯     Bm(maj7)
C𝄪 B  G♯ D♯     C𝄪
-------------------------
Drop 3: (1 7 2 5) --> (7 2 1 5)
D♯ C𝄪 E♯ A♯     D♯
D♯ F♯ E♯ B      E♯
G♯ F♯ E♯ C𝄪     F♯
G♯ F♯ A♯ D♯     G♯
G♯ B  A♯ E♯     A♯
C𝄪 B  A♯ F♯     Bm(maj7)
C𝄪 B  D♯ G♯     C𝄪
C𝄪 E♯ D♯ A♯     D♯
F♯ E♯ D♯ B      E♯
F♯ E♯ G♯ C𝄪     F♯
F♯ A♯ G♯ D♯     G♯
B  A♯ G♯ E♯     A♯
B  A♯ C𝄪 F♯     Bm(maj7)
B  D♯ C𝄪 G♯     C𝄪
E♯ D♯ C𝄪 A♯     D♯
E♯ D♯ F♯ B      E♯
E♯ G♯ F♯ C𝄪     F♯
A♯ G♯ F♯ D♯     G♯
A♯ G♯ B  E♯     A♯
A♯ C𝄪 B  F♯     Bm(maj7)
D♯ C𝄪 B  G♯     C𝄪
Alternate Voicing:
C𝄪 E♯ A♯ D♯     D♯
F♯ B  D♯ E♯     E♯
C𝄪 E♯ G♯ F♯     F♯
F♯ A♯ D♯ G♯     G♯
B  E♯ G♯ A♯     A♯
F♯ A♯ C𝄪 B      Bm(maj7)
B  D♯ G♯ C𝄪     C𝄪
E♯ A♯ C𝄪 D♯     D♯
B  D♯ F♯ E♯     E♯
E♯ G♯ C𝄪 F♯     F♯
A♯ D♯ F♯ G♯     G♯
E♯ G♯ B  A♯     A♯
A♯ C𝄪 F♯ B      Bm(maj7)
D♯ G♯ B  C𝄪     C𝄪
A♯ C𝄪 E♯ D♯     D♯
D♯ F♯ B  E♯     E♯
G♯ C𝄪 E♯ F♯     F♯
D♯ F♯ A♯ G♯     G♯
G♯ B  E♯ A♯     A♯
C𝄪 F♯ A♯ B      Bm(maj7)
G♯ B  D♯ C𝄪     C𝄪
-------------------------
Drop 2 and 3: (1 2 7 5) --> (7 1 2 5)
D♯ E♯ C𝄪 A♯     D♯
D♯ E♯ F♯ B      E♯
G♯ E♯ F♯ C𝄪     F♯
G♯ A♯ F♯ D♯     G♯
G♯ A♯ B  E♯     A♯
C𝄪 A♯ B  F♯     Bm(maj7)
C𝄪 D♯ B  G♯     C𝄪
C𝄪 D♯ E♯ A♯     D♯
F♯ D♯ E♯ B      E♯
F♯ G♯ E♯ C𝄪     F♯
F♯ G♯ A♯ D♯     G♯
B  G♯ A♯ E♯     A♯
B  C𝄪 A♯ F♯     Bm(maj7)
B  C𝄪 D♯ G♯     C𝄪
E♯ C𝄪 D♯ A♯     D♯
E♯ F♯ D♯ B      E♯
E♯ F♯ G♯ C𝄪     F♯
A♯ F♯ G♯ D♯     G♯
A♯ B  G♯ E♯     A♯
A♯ B  C𝄪 F♯     Bm(maj7)
D♯ B  C𝄪 G♯     C𝄪
Alternate Voicing:
E♯ C𝄪 A♯ D♯     D♯
B  F♯ D♯ E♯     E♯
E♯ C𝄪 G♯ F♯     F♯
A♯ F♯ D♯ G♯     G♯
E♯ B  G♯ A♯     A♯
A♯ F♯ C𝄪 B      Bm(maj7)
D♯ B  G♯ C𝄪     C𝄪
A♯ E♯ C𝄪 D♯     D♯
D♯ B  F♯ E♯     E♯
G♯ E♯ C𝄪 F♯     F♯
D♯ A♯ F♯ G♯     G♯
G♯ E♯ B  A♯     A♯
C𝄪 A♯ F♯ B      Bm(maj7)
G♯ D♯ B  C𝄪     C𝄪
C𝄪 A♯ E♯ D♯     D♯
F♯ D♯ B  E♯     E♯
C𝄪 G♯ E♯ F♯     F♯
F♯ D♯ A♯ G♯     G♯
B  G♯ E♯ A♯     A♯
F♯ C𝄪 A♯ B      Bm(maj7)
B  G♯ D♯ C𝄪     C𝄪
-------------------------
Drop 2 and 4: (1 5 2 7) --> (7 5 1 2)
D♯ A♯ E♯ C𝄪     D♯
D♯ B  E♯ F♯     E♯
G♯ C𝄪 E♯ F♯     F♯
G♯ D♯ A♯ F♯     G♯
G♯ E♯ A♯ B      A♯
C𝄪 F♯ A♯ B      Bm(maj7)
C𝄪 G♯ D♯ B      C𝄪
C𝄪 A♯ D♯ E♯     D♯
F♯ B  D♯ E♯     E♯
F♯ C𝄪 G♯ E♯     F♯
F♯ D♯ G♯ A♯     G♯
B  E♯ G♯ A♯     A♯
B  F♯ C𝄪 A♯     Bm(maj7)
B  G♯ C𝄪 D♯     C𝄪
E♯ A♯ C𝄪 D♯     D♯
E♯ B  F♯ D♯     E♯
E♯ C𝄪 F♯ G♯     F♯
A♯ D♯ F♯ G♯     G♯
A♯ E♯ B  G♯     A♯
A♯ F♯ B  C𝄪     Bm(maj7)
D♯ G♯ B  C𝄪     C𝄪
Alternate Voicing:
A♯ E♯ C𝄪 D♯     D♯
E♯ F♯ B  D♯     E♯
E♯ G♯ F♯ C𝄪     F♯
D♯ A♯ F♯ G♯     G♯
A♯ B  E♯ G♯     A♯
A♯ C𝄪 B  F♯     Bm(maj7)
G♯ D♯ B  C𝄪     C𝄪
D♯ E♯ A♯ C𝄪     D♯
D♯ F♯ E♯ B      E♯
C𝄪 G♯ E♯ F♯     F♯
G♯ A♯ D♯ F♯     G♯
G♯ B  A♯ E♯     A♯
F♯ C𝄪 A♯ B      Bm(maj7)
C𝄪 D♯ G♯ B      C𝄪
C𝄪 E♯ D♯ A♯     D♯
B  F♯ D♯ E♯     E♯
F♯ G♯ C𝄪 E♯     F♯
F♯ A♯ G♯ D♯     G♯
E♯ B  G♯ A♯     A♯
B  C𝄪 F♯ A♯     Bm(maj7)
B  D♯ C𝄪 G♯     C𝄪
-------------------------
Double drop 2 drop 3: (1 7 5 2) --> (7 2 5 1)
D♯ C𝄪 A♯ E♯     D♯
D♯ F♯ B  E♯     E♯
G♯ F♯ C𝄪 E♯     F♯
G♯ F♯ D♯ A♯     G♯
G♯ B  E♯ A♯     A♯
C𝄪 B  F♯ A♯     Bm(maj7)
C𝄪 B  G♯ D♯     C𝄪
C𝄪 E♯ A♯ D♯     D♯
F♯ E♯ B  D♯     E♯
F♯ E♯ C𝄪 G♯     F♯
F♯ A♯ D♯ G♯     G♯
B  A♯ E♯ G♯     A♯
B  A♯ F♯ C𝄪     Bm(maj7)
B  D♯ G♯ C𝄪     C𝄪
E♯ D♯ A♯ C𝄪     D♯
E♯ D♯ B  F♯     E♯
E♯ G♯ C𝄪 F♯     F♯
A♯ G♯ D♯ F♯     G♯
A♯ G♯ E♯ B      A♯
A♯ C𝄪 F♯ B      Bm(maj7)
D♯ C𝄪 G♯ B      C𝄪
Alternate Voicing:
C𝄪 A♯ E♯ D♯     D♯
B  E♯ F♯ D♯     E♯
F♯ E♯ G♯ C𝄪     F♯
F♯ D♯ A♯ G♯     G♯
E♯ A♯ B  G♯     A♯
B  A♯ C𝄪 F♯     Bm(maj7)
B  G♯ D♯ C𝄪     C𝄪
A♯ D♯ E♯ C𝄪     D♯
E♯ D♯ F♯ B      E♯
E♯ C𝄪 G♯ F♯     F♯
D♯ G♯ A♯ F♯     G♯
A♯ G♯ B  E♯     A♯
A♯ F♯ C𝄪 B      Bm(maj7)
G♯ C𝄪 D♯ B      C𝄪
D♯ C𝄪 E♯ A♯     D♯
D♯ B  F♯ E♯     E♯
C𝄪 F♯ G♯ E♯     F♯
G♯ F♯ A♯ D♯     G♯
G♯ E♯ B  A♯     A♯
F♯ B  C𝄪 A♯     Bm(maj7)
C𝄪 B  D♯ G♯     C𝄪
-------------------------
