D♯ Harmonic Minor, Cycle 5
-------------------------
4-way close: (1 2 4 7) --> (2 4 7 1)
D♯ E♯ G♯ C𝄪     D♯
B  D♯ G♯ A♯     A♯
A♯ D♯ E♯ F♯     E♯
A♯ B  C𝄪 E♯     B
F♯ G♯ B  E♯     F♯
D♯ F♯ B  C𝄪     C𝄪
C𝄪 F♯ G♯ A♯     G♯
C𝄪 D♯ E♯ G♯     D♯
A♯ B  D♯ G♯     A♯
F♯ A♯ D♯ E♯     E♯
E♯ A♯ B  C𝄪     B
E♯ F♯ G♯ B      F♯
C𝄪 D♯ F♯ B      C𝄪
A♯ C𝄪 F♯ G♯     G♯
G♯ C𝄪 D♯ E♯     D♯
G♯ A♯ B  D♯     A♯
E♯ F♯ A♯ D♯     E♯
C𝄪 E♯ A♯ B      B
B  E♯ F♯ G♯     F♯
B  C𝄪 D♯ F♯     C𝄪
G♯ A♯ C𝄪 F♯     G♯
E♯ G♯ C𝄪 D♯     D♯
D♯ G♯ A♯ B      A♯
D♯ E♯ F♯ A♯     E♯
B  C𝄪 E♯ A♯     B
G♯ B  E♯ F♯     F♯
F♯ B  C𝄪 D♯     C𝄪
F♯ G♯ A♯ C𝄪     G♯
-------------------------
Drop 2: (1 4 7 2) --> (4 1 2 7)
D♯ G♯ C𝄪 E♯     D♯
D♯ A♯ B  G♯     A♯
E♯ A♯ D♯ F♯     E♯
E♯ B  C𝄪 A♯     B
F♯ B  E♯ G♯     F♯
F♯ C𝄪 D♯ B      C𝄪
G♯ C𝄪 F♯ A♯     G♯
G♯ D♯ E♯ C𝄪     D♯
A♯ D♯ G♯ B      A♯
A♯ E♯ F♯ D♯     E♯
B  E♯ A♯ C𝄪     B
B  F♯ G♯ E♯     F♯
C𝄪 F♯ B  D♯     C𝄪
C𝄪 G♯ A♯ F♯     G♯
Alternate Voicing:
G♯ C𝄪 E♯ D♯     D♯
G♯ D♯ A♯ B      A♯
A♯ D♯ F♯ E♯     E♯
A♯ E♯ B  C𝄪     B
B  E♯ G♯ F♯     F♯
B  F♯ C𝄪 D♯     C𝄪
C𝄪 F♯ A♯ G♯     G♯
C𝄪 G♯ D♯ E♯     D♯
D♯ G♯ B  A♯     A♯
D♯ A♯ E♯ F♯     E♯
E♯ A♯ C𝄪 B      B
E♯ B  F♯ G♯     F♯
