D♯ Major, Cycle 6
-------------------------
4-way close: (1 2 5 7) --> (2 5 7 1)
D♯ E♯ A♯ C𝄪
C𝄪 F𝄪 A♯ B♯
D♯ F𝄪 G♯ A♯
D♯ E♯ F𝄪 B♯
C𝄪 D♯ G♯ B♯
B♯ E♯ G♯ A♯
C𝄪 E♯ F𝄪 G♯
C𝄪 D♯ E♯ A♯
B♯ C𝄪 F𝄪 A♯
A♯ D♯ F𝄪 G♯
B♯ D♯ E♯ F𝄪
B♯ C𝄪 D♯ G♯
A♯ B♯ E♯ G♯
G♯ C𝄪 E♯ F𝄪
A♯ C𝄪 D♯ E♯
A♯ B♯ C𝄪 F𝄪
G♯ A♯ D♯ F𝄪
F𝄪 B♯ D♯ E♯
G♯ B♯ C𝄪 D♯
G♯ A♯ B♯ E♯
F𝄪 G♯ C𝄪 E♯
E♯ A♯ C𝄪 D♯
F𝄪 A♯ B♯ C𝄪
F𝄪 G♯ A♯ D♯
E♯ F𝄪 B♯ D♯
D♯ G♯ B♯ C𝄪
E♯ G♯ A♯ B♯
E♯ F𝄪 G♯ C𝄪
-------------------------
Drop 2: (1 5 7 2) --> (2 7 1 5)
D♯ A♯ C𝄪 E♯
C𝄪 A♯ B♯ F𝄪
D♯ G♯ A♯ F𝄪
D♯ F𝄪 B♯ E♯
C𝄪 G♯ B♯ D♯
B♯ G♯ A♯ E♯
C𝄪 F𝄪 G♯ E♯
C𝄪 E♯ A♯ D♯
B♯ F𝄪 A♯ C𝄪
A♯ F𝄪 G♯ D♯
B♯ E♯ F𝄪 D♯
B♯ D♯ G♯ C𝄪
A♯ E♯ G♯ B♯
G♯ E♯ F𝄪 C𝄪
A♯ D♯ E♯ C𝄪
A♯ C𝄪 F𝄪 B♯
G♯ D♯ F𝄪 A♯
F𝄪 D♯ E♯ B♯
G♯ C𝄪 D♯ B♯
G♯ B♯ E♯ A♯
F𝄪 C𝄪 E♯ G♯
E♯ C𝄪 D♯ A♯
F𝄪 B♯ C𝄪 A♯
