F Harmonic Minor, Cycle 5
-------------------------
4-way close: (1 2 5 7) --> (2 5 7 1)
F  G  C  E      F
D♭ G  B♭ C      C
D♭ F  G  A♭     G
C  D♭ E  A♭     D♭m(maj7)
A♭ B♭ E  G      A♭
F  B♭ D♭ E      E
F  A♭ B♭ C      B♭
E  F  G  C      F
C  D♭ G  B♭     C
A♭ D♭ F  G      G
A♭ C  D♭ E      D♭m(maj7)
G  A♭ B♭ E      A♭
E  F  B♭ D♭     E
C  F  A♭ B♭     B♭
C  E  F  G      F
B♭ C  D♭ G      C
G  A♭ D♭ F      G
E  A♭ C  D♭     D♭m(maj7)
E  G  A♭ B♭     A♭
D♭ E  F  B♭     E
B♭ C  F  A♭     B♭
G  C  E  F      F
G  B♭ C  D♭     C
F  G  A♭ D♭     G
D♭ E  A♭ C      D♭m(maj7)
B♭ E  G  A♭     A♭
B♭ D♭ E  F      E
A♭ B♭ C  F      B♭
-------------------------
Drop 2: (1 5 7 2) --> (5 1 2 7)
F  C  E  G      F
G  C  D♭ B♭     C
G  D♭ F  A♭     G
A♭ D♭ E  C      D♭m(maj7)
A♭ E  G  B♭     A♭
B♭ E  F  D♭     E
B♭ F  A♭ C      B♭
C  F  G  E      F
C  G  B♭ D♭     C
D♭ G  A♭ F      G
D♭ A♭ C  E      D♭m(maj7)
E  A♭ B♭ G      A♭
E  B♭ D♭ F      E
F  B♭ C  A♭     B♭
Alternate Voicing:
C  E  G  F      F
B♭ G  C  D♭     C
D♭ F  A♭ G      G
C  A♭ D♭ E      D♭m(maj7)
E  G  B♭ A♭     A♭
D♭ B♭ E  F      E
F  A♭ C  B♭     B♭
E  C  F  G      F
G  B♭ D♭ C      C
F  D♭ G  A♭     G
A♭ C  E  D♭     D♭m(maj7)
G  E  A♭ B♭     A♭
B♭ D♭ F  E      E
A♭ F  B♭ C      B♭
-------------------------
Drop 3: (1 7 2 5) --> (2 1 5 7)
F  E  G  C      F
D♭ C  G  B♭     C
D♭ A♭ F  G      G
