F Melodic Minor, Cycle 3
-------------------------
4-way close: (1 3 5 7) --> (7 1 3 5)
F  A♭ C  E      Fm(maj7)
G  A♭ C  E      A♭aug(maj7)
G  B♭ C  E      C7
G  B♭ D  E      Eø
G  B♭ D  F      Gm7
A♭ B♭ D  F      B♭7
A♭ C  D  F      Dø
A♭ C  E  F      Fm(maj7)
A♭ C  E  G      A♭aug(maj7)
B♭ C  E  G      C7
B♭ D  E  G      Eø
B♭ D  F  G      Gm7
B♭ D  F  A♭     B♭7
C  D  F  A♭     Dø
C  E  F  A♭     Fm(maj7)
C  E  G  A♭     A♭aug(maj7)
C  E  G  B♭     C7
D  E  G  B♭     Eø
D  F  G  B♭     Gm7
D  F  A♭ B♭     B♭7
D  F  A♭ C      Dø
E  F  A♭ C      Fm(maj7)
E  G  A♭ C      A♭aug(maj7)
E  G  B♭ C      C7
E  G  B♭ D      Eø
F  G  B♭ D      Gm7
F  A♭ B♭ D      B♭7
F  A♭ C  D      Dø
-------------------------
Drop 2: (1 5 7 3) --> (7 3 5 1)
F  C  E  A♭     Fm(maj7)
G  C  E  A♭     A♭aug(maj7)
G  C  E  B♭     C7
G  D  E  B♭     Eø
G  D  F  B♭     Gm7
A♭ D  F  B♭     B♭7
A♭ D  F  C      Dø
A♭ E  F  C      Fm(maj7)
A♭ E  G  C      A♭aug(maj7)
B♭ E  G  C      C7
B♭ E  G  D      Eø
B♭ F  G  D      Gm7
B♭ F  A♭ D      B♭7
C  F  A♭ D      Dø
C  F  A♭ E      Fm(maj7)
C  G  A♭ E      A♭aug(maj7)
C  G  B♭ E      C7
D  G  B♭ E      Eø
D  G  B♭ F      Gm7
D  A♭ B♭ F      B♭7
D  A♭ C  F      Dø
E  A♭ C  F      Fm(maj7)
E  A♭ C  G      A♭aug(maj7)
E  B♭ C  G      C7
E  B♭ D  G      Eø
F  B♭ D  G      Gm7
F  B♭ D  A♭     B♭7
F  C  D  A♭     Dø
-------------------------
Drop 3: (1 7 3 5) --> (7 5 1 3)
F  E  A♭ C      Fm(maj7)
G  E  A♭ C      A♭aug(maj7)
G  E  B♭ C      C7
G  E  B♭ D      Eø
G  F  B♭ D      Gm7
A♭ F  B♭ D      B♭7
A♭ F  C  D      Dø
A♭ F  C  E      Fm(maj7)
A♭ G  C  E      A♭aug(maj7)
B♭ G  C  E      C7
B♭ G  D  E      Eø
B♭ G  D  F      Gm7
B♭ A♭ D  F      B♭7
C  A♭ D  F      Dø
C  A♭ E  F      Fm(maj7)
C  A♭ E  G      A♭aug(maj7)
C  B♭ E  G      C7
D  B♭ E  G      Eø
D  B♭ F  G      Gm7
D  B♭ F  A♭     B♭7
D  C  F  A♭     Dø
E  C  F  A♭     Fm(maj7)
E  C  G  A♭     A♭aug(maj7)
E  C  G  B♭     C7
E  D  G  B♭     Eø
F  D  G  B♭     Gm7
F  D  A♭ B♭     B♭7
F  D  A♭ C      Dø
-------------------------
Drop 2 and 3: (1 3 7 5) --> (7 1 5 3)
F  A♭ E  C      Fm(maj7)
G  A♭ E  C      A♭aug(maj7)
G  B♭ E  C      C7
G  B♭ E  D      Eø
G  B♭ F  D      Gm7
A♭ B♭ F  D      B♭7
A♭ C  F  D      Dø
A♭ C  F  E      Fm(maj7)
A♭ C  G  E      A♭aug(maj7)
B♭ C  G  E      C7
B♭ D  G  E      Eø
B♭ D  G  F      Gm7
B♭ D  A♭ F      B♭7
C  D  A♭ F      Dø
C  E  A♭ F      Fm(maj7)
C  E  A♭ G      A♭aug(maj7)
C  E  B♭ G      C7
D  E  B♭ G      Eø
D  F  B♭ G      Gm7
D  F  B♭ A♭     B♭7
D  F  C  A♭     Dø
E  F  C  A♭     Fm(maj7)
E  G  C  A♭     A♭aug(maj7)
E  G  C  B♭     C7
E  G  D  B♭     Eø
F  G  D  B♭     Gm7
F  A♭ D  B♭     B♭7
F  A♭ D  C      Dø
-------------------------
Drop 2 and 4: (1 5 3 7) --> (7 3 1 5)
F  C  A♭ E      Fm(maj7)
G  C  A♭ E      A♭aug(maj7)
G  C  B♭ E      C7
G  D  B♭ E      Eø
G  D  B♭ F      Gm7
A♭ D  B♭ F      B♭7
A♭ D  C  F      Dø
A♭ E  C  F      Fm(maj7)
A♭ E  C  G      A♭aug(maj7)
B♭ E  C  G      C7
B♭ E  D  G      Eø
B♭ F  D  G      Gm7
B♭ F  D  A♭     B♭7
C  F  D  A♭     Dø
C  F  E  A♭     Fm(maj7)
C  G  E  A♭     A♭aug(maj7)
C  G  E  B♭     C7
D  G  E  B♭     Eø
D  G  F  B♭     Gm7
D  A♭ F  B♭     B♭7
D  A♭ F  C      Dø
E  A♭ F  C      Fm(maj7)
E  A♭ G  C      A♭aug(maj7)
E  B♭ G  C      C7
E  B♭ G  D      Eø
F  B♭ G  D      Gm7
F  B♭ A♭ D      B♭7
F  C  A♭ D      Dø
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (7 5 3 1)
F  E  C  A♭     Fm(maj7)
G  E  C  A♭     A♭aug(maj7)
G  E  C  B♭     C7
G  E  D  B♭     Eø
G  F  D  B♭     Gm7
A♭ F  D  B♭     B♭7
A♭ F  D  C      Dø
A♭ F  E  C      Fm(maj7)
A♭ G  E  C      A♭aug(maj7)
B♭ G  E  C      C7
B♭ G  E  D      Eø
B♭ G  F  D      Gm7
B♭ A♭ F  D      B♭7
C  A♭ F  D      Dø
C  A♭ F  E      Fm(maj7)
C  A♭ G  E      A♭aug(maj7)
C  B♭ G  E      C7
D  B♭ G  E      Eø
D  B♭ G  F      Gm7
D  B♭ A♭ F      B♭7
D  C  A♭ F      Dø
E  C  A♭ F      Fm(maj7)
E  C  A♭ G      A♭aug(maj7)
E  C  B♭ G      C7
E  D  B♭ G      Eø
F  D  B♭ G      Gm7
F  D  B♭ A♭     B♭7
