F♯ Harmonic Minor, Cycle 6
-------------------------
4-way close: (1 3 5 7) --> (3 5 7 1)
F♯ A  C♯ E♯     F♯m(maj7)
F♯ A  C♯ D      DM7
F♯ A  B  D      Bm7
F♯ G♯ B  D      G♯ø
E♯ G♯ B  D      E♯°
E♯ G♯ B  C♯     C♯7
E♯ G♯ A  C♯     Aaug(maj7)
E♯ F♯ A  C♯     F♯m(maj7)
D  F♯ A  C♯     DM7
D  F♯ A  B      Bm7
D  F♯ G♯ B      G♯ø
D  E♯ G♯ B      E♯°
C♯ E♯ G♯ B      C♯7
C♯ E♯ G♯ A      Aaug(maj7)
C♯ E♯ F♯ A      F♯m(maj7)
C♯ D  F♯ A      DM7
B  D  F♯ A      Bm7
B  D  F♯ G♯     G♯ø
B  D  E♯ G♯     E♯°
B  C♯ E♯ G♯     C♯7
A  C♯ E♯ G♯     Aaug(maj7)
A  C♯ E♯ F♯     F♯m(maj7)
A  C♯ D  F♯     DM7
A  B  D  F♯     Bm7
G♯ B  D  F♯     G♯ø
G♯ B  D  E♯     E♯°
G♯ B  C♯ E♯     C♯7
G♯ A  C♯ E♯     Aaug(maj7)
-------------------------
Drop 2: (1 5 7 3) --> (3 7 1 5)
F♯ C♯ E♯ A      F♯m(maj7)
F♯ C♯ D  A      DM7
F♯ B  D  A      Bm7
F♯ B  D  G♯     G♯ø
E♯ B  D  G♯     E♯°
E♯ B  C♯ G♯     C♯7
E♯ A  C♯ G♯     Aaug(maj7)
E♯ A  C♯ F♯     F♯m(maj7)
D  A  C♯ F♯     DM7
D  A  B  F♯     Bm7
D  G♯ B  F♯     G♯ø
D  G♯ B  E♯     E♯°
C♯ G♯ B  E♯     C♯7
C♯ G♯ A  E♯     Aaug(maj7)
C♯ F♯ A  E♯     F♯m(maj7)
C♯ F♯ A  D      DM7
B  F♯ A  D      Bm7
B  F♯ G♯ D      G♯ø
B  E♯ G♯ D      E♯°
B  E♯ G♯ C♯     C♯7
A  E♯ G♯ C♯     Aaug(maj7)
A  E♯ F♯ C♯     F♯m(maj7)
A  D  F♯ C♯     DM7
A  D  F♯ B      Bm7
G♯ D  F♯ B      G♯ø
G♯ D  E♯ B      E♯°
G♯ C♯ E♯ B      C♯7
G♯ C♯ E♯ A      Aaug(maj7)
-------------------------
Drop 3: (1 7 3 5) --> (3 1 5 7)
F♯ E♯ A  C♯     F♯m(maj7)
F♯ D  A  C♯     DM7
F♯ D  A  B      Bm7
F♯ D  G♯ B      G♯ø
E♯ D  G♯ B      E♯°
E♯ C♯ G♯ B      C♯7
E♯ C♯ G♯ A      Aaug(maj7)
E♯ C♯ F♯ A      F♯m(maj7)
D  C♯ F♯ A      DM7
D  B  F♯ A      Bm7
D  B  F♯ G♯     G♯ø
D  B  E♯ G♯     E♯°
C♯ B  E♯ G♯     C♯7
C♯ A  E♯ G♯     Aaug(maj7)
C♯ A  E♯ F♯     F♯m(maj7)
C♯ A  D  F♯     DM7
B  A  D  F♯     Bm7
B  G♯ D  F♯     G♯ø
B  G♯ D  E♯     E♯°
B  G♯ C♯ E♯     C♯7
A  G♯ C♯ E♯     Aaug(maj7)
A  F♯ C♯ E♯     F♯m(maj7)
A  F♯ C♯ D      DM7
A  F♯ B  D      Bm7
G♯ F♯ B  D      G♯ø
G♯ E♯ B  D      E♯°
G♯ E♯ B  C♯     C♯7
G♯ E♯ A  C♯     Aaug(maj7)
-------------------------
Drop 2 and 3: (1 3 7 5) --> (3 5 1 7)
F♯ A  E♯ C♯     F♯m(maj7)
F♯ A  D  C♯     DM7
F♯ A  D  B      Bm7
F♯ G♯ D  B      G♯ø
E♯ G♯ D  B      E♯°
E♯ G♯ C♯ B      C♯7
E♯ G♯ C♯ A      Aaug(maj7)
E♯ F♯ C♯ A      F♯m(maj7)
D  F♯ C♯ A      DM7
D  F♯ B  A      Bm7
D  F♯ B  G♯     G♯ø
D  E♯ B  G♯     E♯°
C♯ E♯ B  G♯     C♯7
C♯ E♯ A  G♯     Aaug(maj7)
C♯ E♯ A  F♯     F♯m(maj7)
C♯ D  A  F♯     DM7
B  D  A  F♯     Bm7
B  D  G♯ F♯     G♯ø
B  D  G♯ E♯     E♯°
B  C♯ G♯ E♯     C♯7
A  C♯ G♯ E♯     Aaug(maj7)
A  C♯ F♯ E♯     F♯m(maj7)
A  C♯ F♯ D      DM7
A  B  F♯ D      Bm7
G♯ B  F♯ D      G♯ø
G♯ B  E♯ D      E♯°
G♯ B  E♯ C♯     C♯7
G♯ A  E♯ C♯     Aaug(maj7)
-------------------------
Drop 2 and 4: (1 5 3 7) --> (3 7 5 1)
F♯ C♯ A  E♯     F♯m(maj7)
F♯ C♯ A  D      DM7
F♯ B  A  D      Bm7
F♯ B  G♯ D      G♯ø
E♯ B  G♯ D      E♯°
E♯ B  G♯ C♯     C♯7
E♯ A  G♯ C♯     Aaug(maj7)
E♯ A  F♯ C♯     F♯m(maj7)
D  A  F♯ C♯     DM7
D  A  F♯ B      Bm7
D  G♯ F♯ B      G♯ø
D  G♯ E♯ B      E♯°
C♯ G♯ E♯ B      C♯7
C♯ G♯ E♯ A      Aaug(maj7)
C♯ F♯ E♯ A      F♯m(maj7)
C♯ F♯ D  A      DM7
B  F♯ D  A      Bm7
B  F♯ D  G♯     G♯ø
B  E♯ D  G♯     E♯°
B  E♯ C♯ G♯     C♯7
A  E♯ C♯ G♯     Aaug(maj7)
A  E♯ C♯ F♯     F♯m(maj7)
A  D  C♯ F♯     DM7
A  D  B  F♯     Bm7
G♯ D  B  F♯     G♯ø
G♯ D  B  E♯     E♯°
G♯ C♯ B  E♯     C♯7
G♯ C♯ A  E♯     Aaug(maj7)
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (3 1 7 5)
F♯ E♯ C♯ A      F♯m(maj7)
F♯ D  C♯ A      DM7
F♯ D  B  A      Bm7
F♯ D  B  G♯     G♯ø
E♯ D  B  G♯     E♯°
E♯ C♯ B  G♯     C♯7
E♯ C♯ A  G♯     Aaug(maj7)
E♯ C♯ A  F♯     F♯m(maj7)
D  C♯ A  F♯     DM7
D  B  A  F♯     Bm7
D  B  G♯ F♯     G♯ø
D  B  G♯ E♯     E♯°
C♯ B  G♯ E♯     C♯7
C♯ A  G♯ E♯     Aaug(maj7)
C♯ A  F♯ E♯     F♯m(maj7)
C♯ A  F♯ D      DM7
B  A  F♯ D      Bm7
B  G♯ F♯ D      G♯ø
B  G♯ E♯ D      E♯°
B  G♯ E♯ C♯     C♯7
A  G♯ E♯ C♯     Aaug(maj7)
A  F♯ E♯ C♯     F♯m(maj7)
A  F♯ D  C♯     DM7
A  F♯ D  B      Bm7
G♯ F♯ D  B      G♯ø
G♯ E♯ D  B      E♯°
G♯ E♯ C♯ B      C♯7
G♯ E♯ C♯ A      Aaug(maj7)
-------------------------
