G Harmonic Minor, Cycle 5
-------------------------
4-way close: (1 2 5 7) --> (2 5 7 1)
G  A  D  F♯     G
E♭ A  C  D      D
E♭ G  A  B♭     A
D  E♭ F♯ B♭     E♭m(maj7)
B♭ C  F♯ A      B♭
G  C  E♭ F♯     F♯
G  B♭ C  D      C
F♯ G  A  D      G
D  E♭ A  C      D
B♭ E♭ G  A      A
B♭ D  E♭ F♯     E♭m(maj7)
A  B♭ C  F♯     B♭
F♯ G  C  E♭     F♯
D  G  B♭ C      C
D  F♯ G  A      G
C  D  E♭ A      D
A  B♭ E♭ G      A
F♯ B♭ D  E♭     E♭m(maj7)
F♯ A  B♭ C      B♭
E♭ F♯ G  C      F♯
C  D  G  B♭     C
A  D  F♯ G      G
A  C  D  E♭     D
G  A  B♭ E♭     A
E♭ F♯ B♭ D      E♭m(maj7)
C  F♯ A  B♭     B♭
C  E♭ F♯ G      F♯
B♭ C  D  G      C
-------------------------
Drop 2: (1 5 7 2) --> (5 1 2 7)
G  D  F♯ A      G
A  D  E♭ C      D
A  E♭ G  B♭     A
B♭ E♭ F♯ D      E♭m(maj7)
B♭ F♯ A  C      B♭
C  F♯ G  E♭     F♯
C  G  B♭ D      C
D  G  A  F♯     G
D  A  C  E♭     D
E♭ A  B♭ G      A
E♭ B♭ D  F♯     E♭m(maj7)
F♯ B♭ C  A      B♭
F♯ C  E♭ G      F♯
G  C  D  B♭     C
Alternate Voicing:
D  F♯ A  G      G
C  A  D  E♭     D
E♭ G  B♭ A      A
D  B♭ E♭ F♯     E♭m(maj7)
F♯ A  C  B♭     B♭
E♭ C  F♯ G      F♯
G  B♭ D  C      C
F♯ D  G  A      G
A  C  E♭ D      D
G  E♭ A  B♭     A
B♭ D  F♯ E♭     E♭m(maj7)
A  F♯ B♭ C      B♭
C  E♭ G  F♯     F♯
B♭ G  C  D      C
-------------------------
Drop 3: (1 7 2 5) --> (2 1 5 7)
G  F♯ A  D      G
E♭ D  A  C      D
E♭ B♭ G  A      A
