G Melodic Minor, Cycle 6
-------------------------
4-way close: (1 3 5 7) --> (3 5 7 1)
G  B♭ D  F♯     Gm(maj7)
G  B♭ D  E      Eø
G  B♭ C  E      C7
G  A  C  E      Am7
F♯ A  C  E      F♯ø
F♯ A  C  D      D7
F♯ A  B♭ D      B♭aug(maj7)
F♯ G  B♭ D      Gm(maj7)
E  G  B♭ D      Eø
E  G  B♭ C      C7
E  G  A  C      Am7
E  F♯ A  C      F♯ø
D  F♯ A  C      D7
D  F♯ A  B♭     B♭aug(maj7)
D  F♯ G  B♭     Gm(maj7)
D  E  G  B♭     Eø
C  E  G  B♭     C7
C  E  G  A      Am7
C  E  F♯ A      F♯ø
C  D  F♯ A      D7
B♭ D  F♯ A      B♭aug(maj7)
B♭ D  F♯ G      Gm(maj7)
B♭ D  E  G      Eø
B♭ C  E  G      C7
A  C  E  G      Am7
A  C  E  F♯     F♯ø
A  C  D  F♯     D7
A  B♭ D  F♯     B♭aug(maj7)
-------------------------
Drop 2: (1 5 7 3) --> (3 7 1 5)
G  D  F♯ B♭     Gm(maj7)
G  D  E  B♭     Eø
G  C  E  B♭     C7
G  C  E  A      Am7
F♯ C  E  A      F♯ø
F♯ C  D  A      D7
F♯ B♭ D  A      B♭aug(maj7)
F♯ B♭ D  G      Gm(maj7)
E  B♭ D  G      Eø
E  B♭ C  G      C7
E  A  C  G      Am7
E  A  C  F♯     F♯ø
D  A  C  F♯     D7
D  A  B♭ F♯     B♭aug(maj7)
D  G  B♭ F♯     Gm(maj7)
D  G  B♭ E      Eø
C  G  B♭ E      C7
C  G  A  E      Am7
C  F♯ A  E      F♯ø
C  F♯ A  D      D7
B♭ F♯ A  D      B♭aug(maj7)
B♭ F♯ G  D      Gm(maj7)
B♭ E  G  D      Eø
B♭ E  G  C      C7
A  E  G  C      Am7
A  E  F♯ C      F♯ø
A  D  F♯ C      D7
A  D  F♯ B♭     B♭aug(maj7)
-------------------------
Drop 3: (1 7 3 5) --> (3 1 5 7)
G  F♯ B♭ D      Gm(maj7)
G  E  B♭ D      Eø
G  E  B♭ C      C7
G  E  A  C      Am7
F♯ E  A  C      F♯ø
F♯ D  A  C      D7
F♯ D  A  B♭     B♭aug(maj7)
F♯ D  G  B♭     Gm(maj7)
E  D  G  B♭     Eø
E  C  G  B♭     C7
E  C  G  A      Am7
E  C  F♯ A      F♯ø
D  C  F♯ A      D7
D  B♭ F♯ A      B♭aug(maj7)
D  B♭ F♯ G      Gm(maj7)
D  B♭ E  G      Eø
C  B♭ E  G      C7
C  A  E  G      Am7
C  A  E  F♯     F♯ø
C  A  D  F♯     D7
B♭ A  D  F♯     B♭aug(maj7)
B♭ G  D  F♯     Gm(maj7)
B♭ G  D  E      Eø
B♭ G  C  E      C7
A  G  C  E      Am7
A  F♯ C  E      F♯ø
A  F♯ C  D      D7
A  F♯ B♭ D      B♭aug(maj7)
-------------------------
Drop 2 and 3: (1 3 7 5) --> (3 5 1 7)
G  B♭ F♯ D      Gm(maj7)
G  B♭ E  D      Eø
G  B♭ E  C      C7
G  A  E  C      Am7
F♯ A  E  C      F♯ø
F♯ A  D  C      D7
F♯ A  D  B♭     B♭aug(maj7)
F♯ G  D  B♭     Gm(maj7)
E  G  D  B♭     Eø
E  G  C  B♭     C7
E  G  C  A      Am7
E  F♯ C  A      F♯ø
D  F♯ C  A      D7
D  F♯ B♭ A      B♭aug(maj7)
D  F♯ B♭ G      Gm(maj7)
D  E  B♭ G      Eø
C  E  B♭ G      C7
C  E  A  G      Am7
C  E  A  F♯     F♯ø
C  D  A  F♯     D7
B♭ D  A  F♯     B♭aug(maj7)
B♭ D  G  F♯     Gm(maj7)
B♭ D  G  E      Eø
B♭ C  G  E      C7
A  C  G  E      Am7
A  C  F♯ E      F♯ø
A  C  F♯ D      D7
A  B♭ F♯ D      B♭aug(maj7)
-------------------------
Drop 2 and 4: (1 5 3 7) --> (3 7 5 1)
G  D  B♭ F♯     Gm(maj7)
G  D  B♭ E      Eø
G  C  B♭ E      C7
G  C  A  E      Am7
F♯ C  A  E      F♯ø
F♯ C  A  D      D7
F♯ B♭ A  D      B♭aug(maj7)
F♯ B♭ G  D      Gm(maj7)
E  B♭ G  D      Eø
E  B♭ G  C      C7
E  A  G  C      Am7
E  A  F♯ C      F♯ø
D  A  F♯ C      D7
D  A  F♯ B♭     B♭aug(maj7)
D  G  F♯ B♭     Gm(maj7)
D  G  E  B♭     Eø
C  G  E  B♭     C7
C  G  E  A      Am7
C  F♯ E  A      F♯ø
C  F♯ D  A      D7
B♭ F♯ D  A      B♭aug(maj7)
B♭ F♯ D  G      Gm(maj7)
B♭ E  D  G      Eø
B♭ E  C  G      C7
A  E  C  G      Am7
A  E  C  F♯     F♯ø
A  D  C  F♯     D7
A  D  B♭ F♯     B♭aug(maj7)
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (3 1 7 5)
G  F♯ D  B♭     Gm(maj7)
G  E  D  B♭     Eø
G  E  C  B♭     C7
G  E  C  A      Am7
F♯ E  C  A      F♯ø
F♯ D  C  A      D7
F♯ D  B♭ A      B♭aug(maj7)
F♯ D  B♭ G      Gm(maj7)
E  D  B♭ G      Eø
E  C  B♭ G      C7
E  C  A  G      Am7
E  C  A  F♯     F♯ø
D  C  A  F♯     D7
D  B♭ A  F♯     B♭aug(maj7)
D  B♭ G  F♯     Gm(maj7)
D  B♭ G  E      Eø
C  B♭ G  E      C7
C  A  G  E      Am7
C  A  F♯ E      F♯ø
C  A  F♯ D      D7
B♭ A  F♯ D      B♭aug(maj7)
B♭ G  F♯ D      Gm(maj7)
B♭ G  E  D      Eø
B♭ G  E  C      C7
A  G  E  C      Am7
A  F♯ E  C      F♯ø
A  F♯ D  C      D7
A  F♯ D  B♭     B♭aug(maj7)
-------------------------
