G♯ Harmonic Minor, Cycle 2
-------------------------
4-way close: (1 3 5 7) --> (7 1 3 5)
G♯ B  D♯ F𝄪     G♯m(maj7)
G♯ A♯ C♯ E      A♯ø
F𝄪 A♯ B  D♯     Baug(maj7)
E  G♯ B  C♯     C♯m7
D♯ F𝄪 A♯ C♯     D♯7
D♯ E  G♯ B      EM7
C♯ E  F𝄪 A♯     F𝄪°
B  D♯ F𝄪 G♯     G♯m(maj7)
A♯ C♯ E  G♯     A♯ø
A♯ B  D♯ F𝄪     Baug(maj7)
G♯ B  C♯ E      C♯m7
F𝄪 A♯ C♯ D♯     D♯7
E  G♯ B  D♯     EM7
E  F𝄪 A♯ C♯     F𝄪°
D♯ F𝄪 G♯ B      G♯m(maj7)
C♯ E  G♯ A♯     A♯ø
B  D♯ F𝄪 A♯     Baug(maj7)
B  C♯ E  G♯     C♯m7
A♯ C♯ D♯ F𝄪     D♯7
G♯ B  D♯ E      EM7
F𝄪 A♯ C♯ E      F𝄪°
F𝄪 G♯ B  D♯     G♯m(maj7)
E  G♯ A♯ C♯     A♯ø
D♯ F𝄪 A♯ B      Baug(maj7)
C♯ E  G♯ B      C♯m7
C♯ D♯ F𝄪 A♯     D♯7
B  D♯ E  G♯     EM7
A♯ C♯ E  F𝄪     F𝄪°
-------------------------
Drop 2: (1 5 7 3) --> (7 5 1 3)
G♯ D♯ F𝄪 B      G♯m(maj7)
G♯ E  A♯ C♯     A♯ø
B  F𝄪 A♯ D♯     Baug(maj7)
B  G♯ C♯ E      C♯m7
D♯ A♯ C♯ F𝄪     D♯7
D♯ B  E  G♯     EM7
F𝄪 C♯ E  A♯     F𝄪°
F𝄪 D♯ G♯ B      G♯m(maj7)
A♯ E  G♯ C♯     A♯ø
A♯ F𝄪 B  D♯     Baug(maj7)
C♯ G♯ B  E      C♯m7
C♯ A♯ D♯ F𝄪     D♯7
E  B  D♯ G♯     EM7
E  C♯ F𝄪 A♯     F𝄪°
Alternate Voicing:
D♯ F𝄪 B  G♯     G♯m(maj7)
C♯ G♯ E  A♯     A♯ø
F𝄪 A♯ D♯ B      Baug(maj7)
E  B  G♯ C♯     C♯m7
A♯ C♯ F𝄪 D♯     D♯7
G♯ D♯ B  E      EM7
C♯ E  A♯ F𝄪     F𝄪°
B  F𝄪 D♯ G♯     G♯m(maj7)
E  G♯ C♯ A♯     A♯ø
D♯ A♯ F𝄪 B      Baug(maj7)
G♯ B  E  C♯     C♯m7
F𝄪 C♯ A♯ D♯     D♯7
B  D♯ G♯ E      EM7
A♯ E  C♯ F𝄪     F𝄪°
-------------------------
Drop 3: (1 7 3 5) --> (7 1 3 5)
G♯ F𝄪 B  D♯     G♯m(maj7)
G♯ A♯ C♯ E      A♯ø
B  A♯ D♯ F𝄪     Baug(maj7)
B  C♯ E  G♯     C♯m7
D♯ C♯ F𝄪 A♯     D♯7
D♯ E  G♯ B      EM7
F𝄪 E  A♯ C♯     F𝄪°
F𝄪 G♯ B  D♯     G♯m(maj7)
A♯ G♯ C♯ E      A♯ø
A♯ B  D♯ F𝄪     Baug(maj7)
C♯ B  E  G♯     C♯m7
C♯ D♯ F𝄪 A♯     D♯7
E  D♯ G♯ B      EM7
E  F𝄪 A♯ C♯     F𝄪°
Alternate Voicing:
F𝄪 B  D♯ G♯     G♯m(maj7)
C♯ G♯ E  A♯     A♯ø
A♯ D♯ F𝄪 B      Baug(maj7)
E  B  G♯ C♯     C♯m7
C♯ F𝄪 A♯ D♯     D♯7
G♯ D♯ B  E      EM7
E  A♯ C♯ F𝄪     F𝄪°
B  F𝄪 D♯ G♯     G♯m(maj7)
G♯ C♯ E  A♯     A♯ø
D♯ A♯ F𝄪 B      Baug(maj7)
B  E  G♯ C♯     C♯m7
F𝄪 C♯ A♯ D♯     D♯7
D♯ G♯ B  E      EM7
A♯ E  C♯ F𝄪     F𝄪°
-------------------------
Drop 2 and 3: (1 3 7 5) --> (7 1 5 3)
G♯ B  F𝄪 D♯     G♯m(maj7)
G♯ A♯ E  C♯     A♯ø
F𝄪 A♯ D♯ B      Baug(maj7)
E  G♯ C♯ B      C♯m7
D♯ F𝄪 C♯ A♯     D♯7
D♯ E  B  G♯     EM7
C♯ E  A♯ F𝄪     F𝄪°
B  D♯ G♯ F𝄪     G♯m(maj7)
A♯ C♯ G♯ E      A♯ø
A♯ B  F𝄪 D♯     Baug(maj7)
G♯ B  E  C♯     C♯m7
F𝄪 A♯ D♯ C♯     D♯7
E  G♯ D♯ B      EM7
E  F𝄪 C♯ A♯     F𝄪°
D♯ F𝄪 B  G♯     G♯m(maj7)
C♯ E  A♯ G♯     A♯ø
B  D♯ A♯ F𝄪     Baug(maj7)
B  C♯ G♯ E      C♯m7
A♯ C♯ F𝄪 D♯     D♯7
G♯ B  E  D♯     EM7
F𝄪 A♯ E  C♯     F𝄪°
F𝄪 G♯ D♯ B      G♯m(maj7)
E  G♯ C♯ A♯     A♯ø
D♯ F𝄪 B  A♯     Baug(maj7)
C♯ E  B  G♯     C♯m7
C♯ D♯ A♯ F𝄪     D♯7
B  D♯ G♯ E      EM7
A♯ C♯ F𝄪 E      F𝄪°
-------------------------
Drop 2 and 4: (1 5 3 7) --> (7 5 3 1)
G♯ D♯ B  F𝄪     G♯m(maj7)
G♯ E  C♯ A♯     A♯ø
B  F𝄪 D♯ A♯     Baug(maj7)
B  G♯ E  C♯     C♯m7
D♯ A♯ F𝄪 C♯     D♯7
D♯ B  G♯ E      EM7
F𝄪 C♯ A♯ E      F𝄪°
F𝄪 D♯ B  G♯     G♯m(maj7)
A♯ E  C♯ G♯     A♯ø
A♯ F𝄪 D♯ B      Baug(maj7)
C♯ G♯ E  B      C♯m7
C♯ A♯ F𝄪 D♯     D♯7
E  B  G♯ D♯     EM7
E  C♯ A♯ F𝄪     F𝄪°
